stock_name,stock_code,article_date,article_title,article_nickname,article_content,article_comments,article_viewers,article_likes,article_dislikes,article_url,vote_election,vote_candidate,vote_category,vote_start_date,vote_end_date
넥스트아이,137940,2025-06-09,주가가 딱 이준스톤같네,rebi****,이런 불장에 여기 모여 앉아서 울고 있지 말고.. 좋은거 찾아봐...제발 모든 세상을 펨코로 판단하지 말고 공부좀해라.. 젊은 친구들이 왜 그렇게 사냐.,[],36,3,1,https://finance.naver.com/item/board_read.naver?code=137940&nid=303907707&st=&sw=&page=6,21대,이준석,인맥주,2025-05-03,2025-06-10
넥스트아이,137940,2025-06-09,이거 외계인 프매 나중에 팔면 하한가가는거임?,swim****,ㅎㅎㅎㅎ 조작할? 들어가지말어,['거래만 돌려도 계속 내려갈거임 조작이라'],89,2,0,https://finance.naver.com/item/board_read.naver?code=137940&nid=303903167&st=&sw=&page=6,21대,이준석,인맥주,2025-05-03,2025-06-10
넥스트아이,137940,2025-06-09,350가겠군,k138****,ㅇ,[],34,0,0,https://finance.naver.com/item/board_read.naver?code=137940&nid=303902373&st=&sw=&page=6,21대,이준석,인맥주,2025-05-03,2025-06-10
넥스트아이,137940,2025-06-09,이준석 젓갈되는대 왜가노?,tmdt****,응?,"['정신차리셔 좀만 기당겨봐라. 왜 그러는지', '2프로.오른게 가는걸로 보이남?']",104,0,0,https://finance.naver.com/item/board_read.naver?code=137940&nid=303896285&st=&sw=&page=6,21대,이준석,인맥주,2025-05-03,2025-06-10
넥스트아이,137940,2025-06-08,조만간 국민의힘 위헌 정당 해산 된다,tr******,유일 야당 정당은 개혁신당 뿐이다,[],165,5,3,https://finance.naver.com/item/board_read.naver?code=137940&nid=303888271&st=&sw=&page=6,21대,이준석,인맥주,2025-05-03,2025-06-10
넥스트아이,137940,2025-06-08,[삭제된 게시물의 답글]재료소멸이야. 끝났어ㅎㅎ 더 안떨어져ㅎ,idof****,하수구만ㅎ,[],106,1,1,https://finance.naver.com/item/board_read.naver?code=137940&nid=303888222&st=&sw=&page=6,21대,이준석,인맥주,2025-05-03,2025-06-10
넥스트아이,137940,2025-06-09,음 그쪽도 하수,capt****,안떨어지지만 재료 소멸이 아니라. 이제 시작이라구 봐라 늦어도 10월전까지 어떻게 되는지 눈치도 없이 걍 가는줄 알고 못팔았네. ㅠㅠ,[],27,0,0,https://finance.naver.com/item/board_read.naver?code=137940&nid=303894745&st=&sw=&page=6,21대,이준석,인맥주,2025-05-03,2025-06-10
넥스트아이,137940,2025-06-08,이번주에,ky******,2자보자 11자도 좋고 ㅎㅎㅎ,[],58,1,0,https://finance.naver.com/item/board_read.naver?code=137940&nid=303884320&st=&sw=&page=6,21대,이준석,인맥주,2025-05-03,2025-06-10
넥스트아이,137940,2025-06-08,사퇴하고 떡집이나 하자고,look****,떡은 니가 전문 아니냐ㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋ 그것도 꽁떡ㅋㅋㅋㅋㅋㅋ,"['에휴 찌질한 , 더럽게 모자른 놈. 이 놈 얼굴도 떡할배 닮았을 거 같다.', '고자니?', '유성에다 차리면 되겠네 라마다 옆에 ㅋㅋㅋㅋ 아 살이 빠진다 ㅋㅋㅋㅋㅋ']",114,4,1,https://finance.naver.com/item/board_read.naver?code=137940&nid=303883343&st=&sw=&page=6,21대,이준석,인맥주,2025-05-03,2025-06-10
넥스트아이,137940,2025-06-08,카악 퉤이,look****,널 위한 가래침 ㅋㅋㅋ 정치인생 쫑 ㅊㅊ,[],62,1,0,https://finance.naver.com/item/board_read.naver?code=137940&nid=303883173&st=&sw=&page=6,21대,이준석,인맥주,2025-05-03,2025-06-10
넥스트아이,137940,2025-06-08,진심 궁금해서 그런데,junu****,대선 끝났는데 니네들 뭐해 여기서?,[],59,2,0,https://finance.naver.com/item/board_read.naver?code=137940&nid=303882778&st=&sw=&page=7,21대,이준석,인맥주,2025-05-03,2025-06-10
